keys,en,ru
APP_TITLE,ProjectVelocity,ProjectVelocity
BOOTSTRAP_STATUS,Project foundation ready,Основа проекта готова
SAVE_RECOVERED,Save restored from backup,Данные восстановлены из резервной копии
SAVE_RESET,Save could not be recovered. Defaults are in use.,Не удалось восстановить данные. Используются начальные значения.
SAVE_UNSUPPORTED,Save version is unsupported. Saving is disabled.,Версия сохранения не поддерживается. Запись отключена.
SAVE_IO_ERROR,Save could not be accessed. Progress may not persist.,Нет доступа к сохранению. Прогресс может не сохраниться.
SAVE_INVALID,Changes could not be saved because data is invalid.,Изменения не сохранены из-за некорректных данных.
INPUT_PROMPTS,Jump: %s · Dash: %s,Прыжок: %s · Рывок: %s
INPUT_UNBOUND,Unbound,Не назначено
INPUT_MOUSE_BUTTON,Mouse %d,Мышь %d
INPUT_PAD_BUTTON,Button %d,Кнопка %d
INPUT_BINDING_INVALID,Invalid binding,Недопустимое назначение
INPUT_BINDING_CONFLICT,Binding is already used,Кнопка уже назначена
M3_PLAYGROUND,M3 / Controller laboratory,M3 / Лаборатория контроллера
M3_CONTROLS,%s/%s move · %s jump · %s… dash direction · %s dash · %s hold 1s to reset,%s/%s движение · %s прыжок · %s… направление рывка · %s рывок · %s удерживать 1 с для сброса
M4_GALLERY,M4 / Character presentation,M4 / Презентация персонажа
M4_GALLERY_HINT,Local 100% / opponent 30%. Cosmetic previews only.,Локальный 100% / соперник 30%. Только визуальные образцы.
M4_BODY_COLOR,Body color,Цвет корпуса
M4_ACCENT_COLOR,Accent color,Цвет акцентов
M4_READY,Abilities ready,Способности готовы
M4_GALLERY_FOOTER,Circle: extra jump / square: Dash. Filled = ready. Colors are not saved here.,Круг: второй прыжок / квадрат: рывок. Заливка = готовность. Цвета здесь не сохраняются.
M5_START,Start / default follow,Старт / обычное слежение
M5_RAMP,Ramp / zoom zone,Склон / зона масштаба
M5_LOCK,Platform / locked camera,Платформа / фиксация камеры
M6_PREVIOUS,Previous · PgUp,Назад · PgUp
M6_NEXT,Next · PgDn,Далее · PgDn
M6_RESET,Respawn · F7,Возврат · F7
M6_DEATH,Force death · F6,Смерть · F6
M6_RESTORE,Refill · F8,Способности · F8
M6_COLLISION,Collisions · F9,Коллизии · F9
M6_SPAWN,START,СТАРТ
M6_GROUND,01 / Ground movement,01 / Движение по земле
M6_AIR,02 / Air control,02 / Управление в воздухе
M6_VARIABLE,03 / Variable Jump,03 / Высота прыжка
M6_COYOTE,04 / Coyote Time,04 / Coyote Time
M6_DOUBLE,05 / Double Jump,05 / Двойной прыжок
M6_WALL_SLIDE,06 / Wall slide,06 / Скольжение по стене
M6_WALL_JUMP,07 / Wall jump,07 / Прыжок от стены
M6_DASH,08 / Eight-direction Dash,08 / Рывок в 8 направлениях
M6_TERMINAL,09 / Terminal velocity,09 / Предельная скорость падения
M6_SLOPE,10 / Walkable slope,10 / Пологий склон
M6_STEEP,11 / Steep slope,11 / Крутой склон
M6_SPEED,12 / High-speed lane,12 / Скоростная дорожка
M6_GROUND_HINT,Accelerate / release / reverse. Compare peak horizontal speed and braking distance.,Разгон / отпускание / разворот. Сравните пик скорости и тормозной путь.
M6_AIR_HINT,Jump across the gap; steer and release in midair. Lower landing pad at x=750.,Прыгните через разрыв; меняйте направление и отпускайте движение в воздухе. Нижняя площадка x=750.
M6_VARIABLE_HINT,Tap then hold Jump. Compare peak rise; rulers show height above the floor in pixels.,Нажмите кратко и затем удерживайте прыжок. Сравните высоту; шкала в пикселях над полом.
